                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.276,                 1.3356,                 1.6226,                 0.7097,                0.75067,                0.77004,                0.49246,                 1.2853,                  1.167,                  1.724,             0.00047562,             0.00047562,             0.00047562
                      2,                 1.3001,                 1.0769,                  1.652,                0.74897,                  0.801,                0.80155,                0.54099,                  1.206,                0.99532,                 1.6404,             0.00091425,             0.00091425,             0.00091425
                      3,                 1.2371,                0.95337,                 1.5983,                0.86258,                0.84964,                0.87984,                0.60905,                 1.0436,                0.72973,                   1.47,              0.0013152,              0.0013152,              0.0013152
                      4,                 1.1735,                0.85446,                   1.54,                0.86963,                 0.8557,                0.86844,                0.61679,                 1.0519,                0.72675,                 1.4959,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.1067,                0.77806,                 1.4895,                0.90502,                0.89474,                0.90464,                 0.6692,                0.95527,                0.59837,                   1.39,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.0682,                0.72891,                  1.461,                0.91928,                0.89918,                0.91504,                0.67794,                0.94799,                0.56422,                   1.38,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.0275,                0.68394,                 1.4238,                0.92492,                0.91874,                0.92509,                0.69732,                 0.8858,                0.52446,                  1.305,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.0071,                0.65839,                 1.4126,                0.92918,                0.92336,                0.92395,                0.70258,                0.87588,                0.51589,                 1.2931,              0.0010329,              0.0010329,              0.0010329
                      9,                 0.9763,                0.62633,                 1.3836,                0.92669,                0.92117,                0.93542,                0.73219,                0.82113,                0.47734,                 1.2455,             0.00097629,             0.00097629,             0.00097629
                     10,                0.95442,                0.60483,                 1.3649,                0.92739,                0.93444,                0.93591,                0.72826,                0.82348,                0.45106,                 1.2679,              0.0009197,              0.0009197,              0.0009197
                     11,                0.93774,                0.57159,                  1.356,                0.95324,                0.93536,                0.94825,                0.73727,                 0.8112,                0.44383,                 1.2582,             0.00086312,             0.00086312,             0.00086312
                     12,                0.91043,                0.55934,                 1.3406,                0.95926,                0.93003,                0.94791,                0.74271,                0.81986,                0.44393,                 1.2464,             0.00080653,             0.00080653,             0.00080653
                     13,                0.89319,                0.54489,                 1.3218,                0.95422,                0.93068,                0.95173,                0.76167,                0.77165,                0.41789,                 1.2071,             0.00074994,             0.00074994,             0.00074994
                     14,                0.86571,                0.52316,                  1.302,                0.94373,                0.94935,                0.95643,                0.76252,                0.75698,                0.39374,                 1.1947,             0.00069335,             0.00069335,             0.00069335
                     15,                0.85701,                0.50672,                 1.2908,                0.95274,                0.95375,                 0.9623,                0.77745,                0.73723,                0.38838,                 1.1676,             0.00063676,             0.00063676,             0.00063676
                     16,                 0.7692,                0.40294,                 1.2239,                0.96501,                0.94645,                0.96134,                0.78035,                0.72517,                0.37922,                 1.1456,             0.00058017,             0.00058017,             0.00058017
                     17,                0.74122,                0.37822,                 1.2014,                0.96367,                0.96122,                0.96484,                0.79236,                0.70652,                0.36174,                 1.1366,             0.00052359,             0.00052359,             0.00052359
                     18,                0.71871,                0.36089,                 1.1736,                0.97023,                0.95291,                0.96792,                0.80695,                 0.6846,                0.34404,                 1.1199,               0.000467,               0.000467,               0.000467
                     19,                0.69038,                  0.338,                 1.1527,                 0.9727,                0.95322,                0.96702,                0.80594,                0.68351,                0.35128,                 1.1156,             0.00041041,             0.00041041,             0.00041041
                     20,                0.67034,                0.32147,                 1.1362,                0.95831,                0.97692,                0.96927,                0.82419,                0.64885,                0.32071,                 1.0917,             0.00035382,             0.00035382,             0.00035382
                     21,                0.64922,                0.30814,                 1.1185,                0.97175,                0.96345,                0.96731,                0.82366,                0.63926,                0.31359,                  1.086,             0.00029723,             0.00029723,             0.00029723
                     22,                0.62742,                 0.2949,                 1.0969,                0.97567,                0.96483,                0.97013,                0.83162,                0.62299,                0.30109,                   1.07,             0.00024064,             0.00024064,             0.00024064
                     23,                0.60726,                0.28451,                 1.0841,                0.97268,                0.97045,                0.97166,                0.83824,                 0.6144,                0.29579,                 1.0622,             0.00018406,             0.00018406,             0.00018406
                     24,                0.58517,                 0.2704,                 1.0587,                0.97057,                0.97665,                0.97245,                0.84065,                0.59565,                0.28877,                 1.0428,             0.00012747,             0.00012747,             0.00012747
                     25,                0.56996,                0.26179,                 1.0458,                 0.9705,                0.97415,                0.97194,                 0.8447,                0.58862,                0.28022,                 1.0389,             7.0878e-05,             7.0878e-05,             7.0878e-05
